shopify_category_path,miinto_product_type
Accessories>Belts>Men,Accessories > Belts
Accessories>Belts>Women,Accessories > Belts
Accessories>Frill Collar>Women,Accessories
Accessories>Gloves>Men,Accessories > Gloves
Accessories>Gloves>Women,Accessories > Gloves
Accessories>Hats>Men,Accessories > Hats > Hats
Accessories>Hats>Women,Accessories > Hats > Hats
Accessories>Jewelry>Bangle>Women,Accessories > Jewellery > Necklaces
Accessories>Jewelry>Bracelet>Men,Accessories > Jewellery > Bracelets
Accessories>Jewelry>Bracelet>Women,Accessories > Jewellery > Bracelets
Accessories>Jewelry>Choker>Women,Accessories > Jewellery > Necklaces
Accessories>Jewelry>Earrings>Women,Accessories > Jewellery > Earrings
Accessories>Jewelry>Men,Accessories > Jewellery
Accessories>Jewelry>Necklace>Men,Accessories > Jewellery > Necklaces
Accessories>Jewelry>Necklace>Women,Accessories > Jewellery > Necklaces
Accessories>Jewelry>Pendant>Women,Accessories > Jewellery > Necklaces
Accessories>Jewelry>Ring>Men,Accessories > Jewellery > Rings
Accessories>Jewelry>Ring>Women,Accessories > Jewellery > Rings
Accessories>Jewelry>Stud Earrings>Women,Accessories > Jewellery > Earrings
Accessories>Jewelry>Women,Accessories > Jewellery
Accessories>Keychains>Women,Accessories > Keyrings
Accessories>Phone Cases>Men,Accessories > Phone Accessories
Accessories>Phone Cases>Women,Accessories > Phone Accessories
Accessories>Scarves>Men,Accessories > Scarves > Winter Scarves
Accessories>Scarves>Women,Accessories > Scarves > Winter Scarves
Accessories>Sunglasses>Men,Accessories > Sunglasses
Accessories>Sunglasses>Women,Accessories > Sunglasses
Accessories>Wallets>Men,Accessories > Wallets & Cardholders
Accessories>Wallets>Women,Accessories > Wallets & Cardholders
Bags>Backpacks>Men,Bags > Backpacks
Bags>Backpacks>Women,Bags > Backpacks
Bags>Bag Straps>Women,Bags > Bag Accessories
Bags>Belt,Bags > Belt Bags
Bags>Belt Bags>Men,Bags > Belt Bags
Bags>Clutch,Bags > Clutches
Bags>Clutch Bags>Women,Bags > Clutches
Bags>Crossbody,Bags > Cross Body Bags
Bags>Crossbody Bags>Women,Bags > Cross Body Bags
Bags>Laptop,Bags > Laptop Bags & Cases
Bags>Luggage>Women,Bags > Weekend Bags
Bags>Men,Bags > Belt Bags
Bags>Messenger,Bags > Messenger Bags
Bags>Messenger Bags>Men,Bags > Messenger Bags
Bags>Shoulder,Bags > Shoulder Bags
Bags>Shoulder Bags>Women,Bags > Shoulder Bags
Bags>Tote,Bags > Tote Bags
Bags>Tote Bags>Women,Bags > Tote Bags
Bags>Travel,Bags > Weekend Bags
Bags>Travel Bags>Men,Bags > Weekend Bags
Bags>Women,Bags > Belt Bags
Clothing>Activewear>Leggings>Women,Sport > Fitness > Training Bottoms > Training Leggings
Clothing>Activewear>Men,Sport > Fitness
Clothing>Activewear>Sports Bras>Women,Sport > Fitness > Training Tops > Sport Bras
Clothing>Activewear>Sports Tops>Women,Sport > Fitness > Training Tops
Clothing>Activewear>Tracksuit Sets>Men,Sport > Fitness > Training Sets
Clothing>Activewear>Tracksuit Sets>Women,Sport > Fitness > Training Sets
Clothing>Activewear>Women,Sport > Fitness
Clothing>Beachwear>Bikini Bottoms>Women,Swimwear > Bikinis
Clothing>Beachwear>Bikini Tops>Women,Swimwear > Bikinis
Clothing>Beachwear>Bikini>Women,Swimwear > Bikinis
Clothing>Beachwear>Coverups>Women,Swimwear > Beachwear
Clothing>Beachwear>Swimwear>Women,Swimwear > Beachwear
Clothing>Bottoms>Jeans Flared>Women,Jeans > Flared Jeans
Clothing>Bottoms>Jeans Skinny>Men,Jeans > Skinny Jeans
Clothing>Bottoms>Jeans Skinny>Women,Jeans > Skinny Jeans
Clothing>Bottoms>Jeans Straight>Men,Jeans > Straight Jeans
Clothing>Bottoms>Jeans Straight>Women,Jeans > Straight Jeans
Clothing>Bottoms>Jeans Wide Leg>Women,Jeans > Wide Jeans
Clothing>Bottoms>Jeans>Boys,Kids > Bottoms > Jeans
Clothing>Bottoms>Jeans>Girls,Kids > Bottoms > Jeans
Clothing>Bottoms>Jeans>Men,Jeans
Clothing>Bottoms>Jeans>Women,Jeans
Clothing>Bottoms>Leggings>Women,Trousers > Leggings
Clothing>Bottoms>Shorts>Boys,Kids > Bottoms > Shorts
Clothing>Bottoms>Shorts>Girls,Kids > Bottoms > Shorts
Clothing>Bottoms>Shorts>Men,Shorts
Clothing>Bottoms>Shorts>Women,Shorts
Clothing>Bottoms>Sweatpants>Men,Trousers > Sweatpants
Clothing>Bottoms>Sweatpants>Women,Trousers > Sweatpants
Clothing>Bottoms>Trousers & Shorts>Boys,Kids > Bottoms
Clothing>Bottoms>Trousers & Shorts>Girls,Kids > Bottoms
Clothing>Bottoms>Trousers Cargo>Men,Trousers > Straight Trousers
Clothing>Bottoms>Trousers Cargo>Women,Trousers > Straight Trousers
Clothing>Bottoms>Trousers Casual>Men,Trousers > Sweatpants
