variant_gid,product_gid,mpn,vendor,title,colour,size,sku,barcode,images,gender_raw,season_raw,shopify_category,hs_code,country_of_origin,material_upper,description_html,stock,price_eur_net,compare_at_price
gid://shopify/ProductVariant/47760188342615,gid://shopify/Product/8903131464023,30H0S1SL1T-222,Michael Kors,SM chain shoulder bag,Brown,OS,MKO30H0S1SL1T-222-OS,196163689395,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/SM_chain_shoulder_bag_241555.jpg?v=1709145231, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/SM_chain_shoulder_bag_241556.jpg?v=1709145232, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/SM_chain_shoulder_bag_241557.jpg?v=1709145235, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/SM_chain_shoulder_bag_241558.jpg?v=1709145237",Women,23SS,Bags>Shoulder Bags>Women,4202.21.00.90,VN,Sheep Leather 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Shoulder Bag</p><p>Colour: Brown</p><p><strong>Composition</strong><br>Outer: Sheep Leather 100%</p><p><strong>Product Code: </strong>30H0S1SL1T</p>,0,330.57,
gid://shopify/ProductVariant/47762944754007,gid://shopify/Product/8904030814551,BEW004701500001-M802,Dsquared2,Plaque Belts,Black,80,DSBEW0047-M802-80,8058097862027,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802",Women,21SS,Accessories>Belts>Women,4203.30.00.90,IT,Leather,<p><strong>Product Details</strong></p><p></p><p>Type: Belt</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Leather</p><p><strong>Product Code: </strong>BEW004701500001</p>,0,264.45,
gid://shopify/ProductVariant/47762944786775,gid://shopify/Product/8904030814551,BEW004701500001-M802,Dsquared2,Plaque Belts,Black,90,DSBEW0047-M802-90,8058097862041,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802",Women,21SS,Accessories>Belts>Women,4203.30.00.90,IT,Leather,<p><strong>Product Details</strong></p><p></p><p>Type: Belt</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Leather</p><p><strong>Product Code: </strong>BEW004701500001</p>,0,264.45,
gid://shopify/ProductVariant/47762944655703,gid://shopify/Product/8904030814551,BEW004701500001-M802,Dsquared2,Plaque Belts,Black,75,DSBEW0047-M802-75,8058097862003,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802",Women,21SS,Accessories>Belts>Women,4203.30.00.90,IT,Leather,<p><strong>Product Details</strong></p><p></p><p>Type: Belt</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Leather</p><p><strong>Product Code: </strong>BEW004701500001</p>,0,264.45,
gid://shopify/ProductVariant/47762944721239,gid://shopify/Product/8904030814551,BEW004701500001-M802,Dsquared2,Plaque Belts,Black,85,DSBEW0047-M802-85,8058097838190,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802",Women,21SS,Accessories>Belts>Women,4203.30.00.90,IT,Leather,<p><strong>Product Details</strong></p><p></p><p>Type: Belt</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Leather</p><p><strong>Product Code: </strong>BEW004701500001</p>,0,264.45,
gid://shopify/ProductVariant/47762944688471,gid://shopify/Product/8904030814551,BEW004701500001-M802,Dsquared2,Plaque Belts,Black,70,DSBEW0047-M802-70,8058097861198,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802",Women,21SS,Accessories>Belts>Women,4203.30.00.90,IT,Leather,<p><strong>Product Details</strong></p><p></p><p>Type: Belt</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Leather</p><p><strong>Product Code: </strong>BEW004701500001</p>,0,264.45,
gid://shopify/ProductVariant/47762944622935,gid://shopify/Product/8904030814551,BEW004701500001-M802,Dsquared2,Plaque Belts,Black,95,DSBEW0047-M802-95,,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802",Women,21SS,Accessories>Belts>Women,4203.30.00.90,IT,Leather,<p><strong>Product Details</strong></p><p></p><p>Type: Belt</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Leather</p><p><strong>Product Code: </strong>BEW004701500001</p>,0,264.45,
gid://shopify/ProductVariant/47763484180823,gid://shopify/Product/8904213430615,FD55AC891F4111,KENZO,Cap,Beige,OS,KENFD55AC891F4111-OS,3612230426665,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Cap_240817.jpg?v=1709224646, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Cap_240818.jpg?v=1709224648",Men,23SS,Accessories>Hats>Men,6505.00.30.00,CN,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Hat</p><p>Colour: Beige</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>FD55AC891F41</p>,0,165.28,
gid://shopify/ProductVariant/47764055458135,gid://shopify/Product/8904364294487,D7P404220-001,Dsquared2 Underwear,Bathrobe,Black,S,DSD7P404220-001-S,8032674563095,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bathrobe_286265.jpg?v=1709231477, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bathrobe_286266.jpg?v=1709231479",Men,22AW,Clothing>Underwear>Robes>Men,6207.91.00.11,IT,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Robe</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>D7P404220</p>,0,438.01,
gid://shopify/ProductVariant/47764055490903,gid://shopify/Product/8904364294487,D7P404220-001,Dsquared2 Underwear,Bathrobe,Black,L,DSD7P404220-001-L,8032674563118,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bathrobe_286265.jpg?v=1709231477, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bathrobe_286266.jpg?v=1709231479",Men,22AW,Clothing>Underwear>Robes>Men,6207.91.00.11,IT,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Robe</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>D7P404220</p>,0,438.01,
